paper_id,strategy_id,status,play_type,selection,model_prob,odds,ev,advantage_rate,data_quality_score,risk_tags,paper_stake,is_hit,paper_profit
231,candidate_strategy_v1,observation_only,spf,D,0.34046866782183444,3.0,0.021406003465503254,0.021406003465503254,85.0,赔率异常,1.0,0,-1.0
232,candidate_strategy_v1,observation_only,spf,D,0.28702212087477086,3.5,0.0045774230616979494,0.0045774230616979494,85.0,赔率异常,1.0,1,2.5
233,candidate_strategy_v1,observation_only,spf,H,0.053120670200648555,19.0,0.00929273381232254,0.00929273381232254,85.0,机构分歧|热门过热,1.0,0,-1.0
234,candidate_strategy_v1,observation_only,spf,D,0.2522494724165141,4.0,0.008997889666056302,0.008997889666056302,85.0,机构分歧|赔率异常,1.0,0,-1.0
235,candidate_strategy_v1,observation_only,spf,D,0.27874687671346154,3.6,0.0034887561684615598,0.0034887561684615598,85.0,赔率异常,1.0,0,-1.0
236,candidate_strategy_v1,observation_only,spf,D,0.30784935854911205,3.25,0.0005104152846142629,0.0005104152846142629,85.0,机构分歧|赔率异常,1.0,0,-1.0
237,candidate_strategy_v1,observation_only,spf,D,0.2386275037456387,4.2,0.00223551573168268,0.00223551573168268,85.0,赔率异常,1.0,1,3.2
238,candidate_strategy_v1,observation_only,spf,D,0.2886222074438334,3.5,0.010177726053416825,0.010177726053416825,85.0,赔率异常,1.0,1,2.5
239,candidate_strategy_v1,observation_only,spf,D,0.2788147190834017,3.6,0.003732988700246187,0.003732988700246187,85.0,赔率异常,1.0,0,-1.0
240,candidate_strategy_v1,observation_only,spf,D,0.2963370294684637,3.4,0.007545900192776456,0.007545900192776456,85.0,赔率异常,1.0,1,2.4
241,candidate_strategy_v1,observation_only,spf,D,0.31333788973707793,3.2,0.00268124715864948,0.00268124715864948,85.0,赔率异常,1.0,0,-1.0
242,candidate_strategy_v1,observation_only,spf,D,0.27822142907788555,3.6,0.001597144680387963,0.001597144680387963,85.0,机构分歧|赔率异常,1.0,0,-1.0
